TestId,Category,Passed,PassedRuns,TotalRuns,AvgEmbeddingScore,AvgJudgeScore,Prompt,ExpectedOutput
"factual_021","factual",True,3,3,0.45,10.0,"What is the capital of France?","Paris"
"factual_022","factual",True,3,3,0.50,10.0,"Who wrote Romeo and Juliet?","William Shakespeare"
"factual_023","factual",True,3,3,0.31,10.0,"What is the chemical symbol for gold?","Au"
"math_021","math",True,3,3,0.62,10.0,"What is 2+2?","4"
"math_022","math",True,3,3,0.34,10.0,"Calculate 15% of 200","30"
"math_023","math",True,3,3,0.30,10.0,"What is the square root of 144?","12"
"reasoning_021","reasoning",True,3,3,0.44,10.0,"If all dogs are animals, and Max is a dog, what is Max?","An animal"
"reasoning_022","reasoning",True,3,3,0.34,10.0,"A farmer has 17 sheep. All but 9 die. How many are left?","9"
"definition_001","definition",True,3,3,0.67,10.0,"Define photosynthesis","The process where plants convert light energy into chemical energy"
"definition_002","definition",True,2,3,0.32,6.7,"What is artificial intelligence?","Computer systems that can perform tasks requiring human intelligence"
"history_001","history",True,3,3,0.50,10.0,"In which year did World War II end?","1945"
"history_002","history",True,3,3,0.54,10.0,"Who was the first President of the United States?","George Washington"
"history_003","history",True,3,3,0.50,10.0,"In which year did the French Revolution begin?","1789"
"history_004","history",True,3,3,0.58,10.0,"Who wrote the theory of evolution by natural selection?","Charles Darwin"
"history_005","history",True,3,3,0.37,10.0,"In which year did humans first land on the Moon?","1969"
"history_006","history",True,2,3,0.55,8.0,"Which empire was Julius Caesar a part of?","The Roman Empire"
"history_007","history",True,3,3,0.46,10.0,"In which year did World War I begin?","1914"
"history_008","history",True,3,3,0.70,10.0,"Who was the first woman to win a Nobel Prize?","Marie Curie"
"history_009","history",True,3,3,0.47,10.0,"Which country was the first to grant women the right to vote?","New Zealand"
"history_010","history",True,3,3,0.44,10.0,"In which year did the Berlin Wall fall?","1989"
"history_011","history",True,3,3,0.57,10.0,"Who was the leader of Nazi Germany during World War II?","Adolf Hitler"
"history_012","history",True,3,3,0.77,10.0,"Which ancient wonder was located in Alexandria, Egypt?","The Lighthouse of Alexandria"
"history_013","history",True,3,3,0.31,10.0,"In which year did the Titanic sink?","1912"
"history_014","history",True,3,3,0.59,10.0,"Who gave the 'I Have a Dream' speech?","Martin Luther King Jr."
"history_015","history",True,3,3,0.38,10.0,"Which country did Christopher Columbus sail for when he reached the Americas?","Spain"
"history_016","history",True,3,3,0.36,10.0,"In which year did the Soviet Union collapse?","1991"
"history_017","history",True,2,3,0.45,6.7,"Who invented the telephone?","Alexander Graham Bell"
"history_018","history",True,3,3,0.66,10.0,"Which city was the capital of the Byzantine Empire?","Constantinople"
"history_019","history",True,3,3,0.36,10.0,"In which year did India gain independence from Britain?","1947"
"history_020","history",False,0,3,0.56,2.3,"Who was the first person to circumnavigate the globe?","Ferdinand Magellan"
"definition_021","definitions",True,3,3,0.68,10.0,"Define photosynthesis","The process by which plants use sunlight, water, and carbon dioxide to produce oxygen and energy in the form of sugar"
"definition_022","definitions",True,3,3,0.46,10.0,"What is democracy?","A system of government in which power is vested in the people, who rule either directly or through elected representatives"
"definition_003","definitions",True,3,3,0.38,10.0,"What is an algorithm?","A set of step-by-step instructions or rules designed to solve a problem or complete a task"
"definition_004","definitions",True,3,3,0.50,9.3,"Define gravity","A natural force that attracts objects with mass toward one another, pulling them together"
"definition_005","definitions",True,3,3,0.50,10.0,"What is inflation in economics?","The rate at which the general level of prices for goods and services rises over time, reducing purchasing power"
"definition_006","definitions",True,3,3,0.45,10.0,"What is a hypothesis?","A proposed explanation for an observation that can be tested through further investigation or experimentation"
"definition_007","definitions",True,3,3,0.68,10.0,"Define osmosis","The movement of water molecules through a semipermeable membrane from an area of lower solute concentration to higher solute concentration"
"definition_008","definitions",True,2,3,0.35,6.7,"What is artificial intelligence?","The simulation of human intelligence processes by computer systems, including learning, reasoning, and problem-solving"
"definition_009","definitions",True,3,3,0.63,10.0,"What is a synonym?","A word that has the same or nearly the same meaning as another word"
"definition_010","definitions",True,3,3,0.64,10.0,"Define metabolism","The set of chemical processes that occur in living organisms to maintain life, including converting food to energy"
"definition_011","definitions",True,3,3,0.49,9.7,"What is a variable in programming?","A named storage location in memory that holds a value which can be changed during program execution"
"definition_012","definitions",True,3,3,0.64,10.0,"What is climate change?","Long-term shifts in global temperatures and weather patterns, largely driven by human activities releasing greenhouse gases"
"definition_013","definitions",True,3,3,0.57,10.0,"Define empathy","The ability to understand and share the feelings or experiences of another person"
"definition_014","definitions",True,3,3,0.69,10.0,"What is DNA?","Deoxyribonucleic acid, a molecule that carries the genetic instructions for the development and functioning of living organisms"
"definition_015","definitions",True,3,3,0.58,10.0,"What is supply and demand?","An economic model where the price and quantity of a good are determined by the balance between how much is available and how much consumers want"
"definition_016","definitions",True,3,3,0.59,10.0,"Define biodiversity","The variety of life on Earth, including the different species of plants, animals, and microorganisms in an ecosystem"
"definition_017","definitions",True,3,3,0.48,10.0,"What is recursion in programming?","A technique where a function calls itself in order to solve a problem by breaking it into smaller instances of the same problem"
"definition_018","definitions",True,3,3,0.60,9.7,"What is the placebo effect?","A phenomenon where a patient experiences a real improvement in their condition after receiving an inactive treatment, due to belief in its effectiveness"
"definition_019","definitions",True,3,3,0.63,10.0,"Define Renaissance","A cultural and intellectual movement in Europe from the 14th to 17th centuries, marking a revival of interest in classical art, literature, and learning"
"definition_020","definitions",True,3,3,0.55,10.0,"What is a neural network?","A computational model inspired by the human brain, consisting of layers of interconnected nodes that learn patterns from data"
"factual_001","factual",True,3,3,0.45,10.0,"What is the capital of France?","Paris"
"factual_002","factual",True,3,3,0.73,10.0,"What is the capital of Japan?","Tokyo"
"factual_003","factual",True,3,3,0.75,10.0,"What is the capital of Australia?","Canberra"
"factual_004","factual",True,3,3,0.63,10.0,"What is the largest ocean on Earth?","The Pacific Ocean"
"factual_005","factual",True,3,3,0.22,10.0,"How many continents are there on Earth?","7"
"factual_006","factual",True,3,3,0.52,10.0,"What is the longest river in the world?","The Nile River"
"factual_007","factual",True,3,3,0.55,10.0,"What is the tallest mountain in the world?","Mount Everest"
"factual_008","factual",True,3,3,0.23,10.0,"How many planets are in our solar system?","8"
